travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,ground_service,value_for_money,recommended,overall_rating,review,Airlines,year,month
Family Leisure,Economy Class,Mumbai to Delhi,2024-04-01,2.0,3.0,2.0,2.0,2.0,2.0,0,1.0,"   Absolutely ridiculous customer service! Never fly Air India. After they canceled my flight and provided me with an unsuitable solution on a different day they also had a gut to demand money because of fare differences and when I didn't agree and wanted to speak with somebody senior they disconnected my call. Better go for a proper low cost, at least you know what to expect",Indigo,2024,4
Family Leisure,Economy Class,London to Chennai,2024-04-01,2.0,1.0,1.0,1.0,2.0,1.0,0,1.0,   Absolutely pathetic. No working entertainment or even a working overhead light for a 9 hour flight! Only vodka or whiskey to drink. No diet coke. Cabin crew ok. The first and last time I ever use Air India! ,Indigo,2024,4
Couple Leisure,Economy Class,Frankfurt to Delhi,2024-04-01,3.0,3.0,3.0,1.0,4.0,2.0,0,3.0,"  How do you feel when the pilot makes an announcement shortly after the plane has started taxiing and points out a technical problem with the air conditioning that will hopefully be solved during the flight? Well, more than uncertain. When we boarded the plane, the cabin was heated to around 35°, which remained the case for the first 1.5 hours or so of the flight.  The seatbelt indicator lights did not work either. This perceived safety problem was compounded by the overall condition of the aircraft. While the entertainment system at my wife's seat didn't work on the outward flight, it practically failed throughout the entire plane on the return flight. And that on a long-haul flight. In addition, one toilet didn't work, my seat back was in a catastrophic state and one toilet was out of order. In another, the washbasin was provisionally glued down so that it didn't fall off the wall. Do you feel comfortable and safe? A clear no. It's also cheeky: when checking in online 48 hours before departure, the seats are displayed. Our two seats offered at no extra cost were in different rows. If we wanted to sit together or enjoy a bit more legroom, we had to pay extra. Coincidentally, relatives of ours were flying from Frankfurt to Singapore the same week. Here, too, the decision was made: No more Air India. After a lengthy back and forth with Air India, we were granted around 120 euros in compensation for both passengers. With a total flight price of almost 1,800 euros, this was an outrage.",Indigo,2024,4
Family Leisure,Economy Class,London to Delhi,2024-03-01,1.0,2.0,1.0,1.0,4.0,2.0,0,3.0,   Old Etihad plane completely worn out. IFE not working at least half of cabin. Broken tables. Broken toilets. Have flown Air India for some bizarre reason for 10 years. Will not fly on them again.,Indigo,2024,3
Family Leisure,Economy Class,Toronto to Phuket via Delhi,2024-03-01,1.0,5.0,2.0,1.0,5.0,3.0,0,1.0," Terrible experience, super old Aircraft, dirty everywhere, flight attendants tried their best to make sure that everyone was happy. Never flying with them again. In Delhi airport at boarding time representatives of Air India asked me to pay 800USD for a Duty Free bag, however post terminal doesn’t work and they tried to ask for cash. They said any cash amount. I didn’t pay and they allowed us to board last minute.",Indigo,2024,3
Family Leisure,Economy Class,New Delhi to Toronto,2024-04-01,2.0,4.0,4.0,2.0,1.0,2.0,0,2.0,"   Air India is a shame to India, being a national carrier they are the disgrace to the country. My mother, who is a senior citizen and was operated recently was not provided with wheel chair services at Toronto airport even after booking in advance and asking for multiple times at the airport itself.",Indigo,2024,4
Family Leisure,Business Class,Delhi to San Francisco,2024-03-01,1.0,1.0,1.0,1.0,2.0,1.0,0,3.0,"  In March of 2024 I flew multiple international and domestic (India) flights with Air India. All flights were sold as “Business Class”. The Delhi to SFO plane was old, my seat was neither comfortable and the controls did not work. The food was pathetic and to top it off the flight attendants were not in any way attentive. Requests for food or drinks were either ignored or required two or three requests and up to a fifty minute wait time. The flight attendants were either not properly trained, over worked or simply did not care about passengers. Nothing one expects to be found in “Business Class” was apparent with Air India. In fact in my experience most domestic United States carriers premium economy far surpass anything I experienced with Air India Business Class on an international flight.",Indigo,2024,3
Couple Leisure,Economy Class,Amsterdam to Delhi,2024-03-01,3.0,2.0,2.0,1.0,1.0,1.0,0,2.0,"  I flew from AMS - Delhi / Delhi AMS in both flights I had the same bad experience. Would not recommend. Legroom poor, Entertainment was not working for the entire economy cabin. Air-conditioning not working, pilot had to apologize for the inconvenience. Disorganized boarding experience. No Wifi.",Indigo,2024,3
Family Leisure,Business Class,London to Mumbai,2024-03-01,3.0,1.0,1.0,3.0,2.0,2.0,0,2.0,"  I recently traveled Business Class from London to Mumbai. Throughout the journey, I observed a significant disparity between the two sides of the plane. On one side, passengers were promptly served snacks, juice, and amenities kits, while the other side seemed to receive less attention. As a paying Business Class traveler, this inconsistency was quite evident and left me perplexed. Whenever I requested assistance from the flight attendants, their standard reply was, “We’ll take care of it for your side later.” Unfortunately, these assurances rarely translated into action. Whether it was headphones, desserts, or other amenities, the promised items often failed to materialize. Strongly urge the management to implement better checks and balances. Keeping track of items served to each passenger is essential. After all, we all paid for the same Business Class experience, and it’s disheartening to see such discrepancies.",Indigo,2024,3
Couple Leisure,Business Class,Bangalore to Vancouver via Delhi,2024-03-01,1.0,4.0,3.0,1.0,2.0,3.0,0,1.0,  Worst trip in a business class ever. Unable to flatten seat owing to mechanical failure and in flight entertainment was completely off the entire 17 hr flight. Wheelchair assistance was poor at both Delhi and Vancouver.,Indigo,2024,3
Solo Leisure,Economy Class,Sydney to Delhi,2024-03-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  Worst experience! Food was awful, cabin crew were not very friendly, lights in the airline were switched off for most of the flight time, entertainment monitors did not work for most of the flight and delayed flight made me miss the connecting international flight. Flight staff at the Delhi Airport were even worse.",Indigo,2024,3
Couple Leisure,Economy Class,London to Thiruvanthapuram via Mumbai,2024-03-01,4.0,5.0,5.0,4.0,4.0,5.0,1,8.0,"   Travelled 1st March London to Thiruvanthapuram via Mumbai. Also on 8th March Thiruvanthapuram to Delhi and then to Amristsar. Then return to Thiruvanthapuram on 10th and flew back to London via Mumbai on 12th. So multiple flights (8) in 1-2days. The staff were great, no issues very customer focused, food quality and taste excellent on board. Excellent leg room and seats comfortable. I noticed a few passengers had screens not working. The only issue we had was during transfer from Mumbai to Thiruvanthapuram at Mumbai airport it was like a cattle market - complete lack of order and no queuing system, Air India staff screeching at passengers waiting to check in their luggage again. That definitely needs improving! Other than that the check in staff were very courteous and polite. Air India personnel at Thiruvanthapuram-exceptional. Definitely will fly with Air India again.",Indigo,2024,3
